source_variable,source_label,target_field,target_code,target_term,mapped_in_entities,ontology_verification_status
tocil,Tocilizumab (Actemra),"medication_code, medication_term | treatment_code, treatment_term",NCIT:C84217,Tocilizumab,"medication, treatment",confirmed | Code mismatch | Need to verify
kineret,Kineret (Anakinra),"medication_code, medication_term | treatment_code, treatment_term",rxnorm:352734,Kineret,"medication, treatment",confirmed | Match | Need to verify
ivig,IVIG,"medication_code, medication_term | treatment_code, treatment_term",NCIT:C121331,Intravenous Immunoglobulin Therapy,"medication, treatment",added and confirmed | Match | Need to verify
plasma,Plasma,"treatment_code, treatment_term",,,treatment,
othercovid_therapy,Other COVID-19 therapy,"treatment_code, treatment_term",,,treatment,
othercovid_therapy_type,Specify other COVID-19 therapy,treatment_note,,,treatment,
treatment_complete,Complete?,,,,,
dna_number,DNA number (lab use only),submitter_sample_id | submitter_specimen_id,,,"hla, sample, specimen",
lims_id,,,,,,
dna_sequenced_site,Sequencing site,,,,,
dna_received_date,Date sample was received,age_at_specimen_collection,,,specimen,
dna_sequenced_date,Date sample was sequenced,,,,,
hla,HLA typing,,,,,
hla_optitype_a1,HLA Optitype A1,hla_optitype_a1,,,hla,
hla_optitype_a2,HLA Optitype A2,hla_optitype_a2,,,hla,
hla_optitype_b1,HLA Optitype B1,hla_optitype_b1,,,hla,
hla_optitype_b2,HLA Optitype B2,hla_optitype_b2,,,hla,
hla_optitype_c1,HLA Optitype C1,hla_optitype_c1,,,hla,
hla_optitype_c2,HLA Optitype C2,hla_optitype_c2,,,hla,
hla_optitype_reads,HLA Optitype Reads,hla_optitype_reads,,,hla,
hla_optitype_obj,HLA Optitype Objective,hla_optitype_objective,,,hla,
dna_sample_complete,Complete?,,,,,
